,MS SubClass,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Year Built,Year Remod/Add,Exterior 1st,Exterior 2nd,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Sale Type,SalePrice
774,85,,7252,Sawyer,5,1982,1982,Wd Sdng,Wd Sdng,0.0,685.0,0.0,173.0,858.0,858,0,0,858,5,1983.0,576.0,120,0,0,0,0,0,0,4,WD ,134900
775,85,74.0,8740,Sawyer,5,1982,1982,HdBoard,HdBoard,0.0,672.0,0.0,168.0,840.0,860,0,0,860,4,1996.0,528.0,0,0,0,0,0,0,0,7,WD ,137000
776,20,,11616,Sawyer,5,1962,1962,Wd Sdng,Wd Sdng,116.0,170.0,670.0,252.0,1092.0,1092,0,0,1092,6,1962.0,288.0,0,20,144,0,0,0,0,9,WD ,139000
777,80,88.0,15400,Sawyer,5,1961,1961,HdBoard,HdBoard,0.0,0.0,0.0,552.0,552.0,904,611,259,1774,8,1961.0,384.0,290,40,0,0,0,0,0,7,WD ,165000
778,80,88.0,15312,Sawyer,6,1960,1960,Wd Sdng,Wd Sdng,54.0,588.0,0.0,550.0,1138.0,1138,0,0,1138,6,1960.0,480.0,0,0,0,0,140,0,0,3,COD,148000
779,80,,15584,ClearCr,5,1956,1956,Wd Sdng,Wd Sdng,366.0,0.0,0.0,825.0,825.0,2071,0,0,2071,9,1956.0,336.0,131,28,0,0,0,0,0,10,WD ,165000
780,20,,9000,Sawyer,2,1947,1950,Wd Sdng,Wd Sdng,0.0,0.0,0.0,0.0,0.0,660,0,0,660,5,,0.0,0,0,100,0,0,0,0,6,WD ,63900
781,50,,11250,ClearCr,4,1957,1989,Wd Sdng,Wd Sdng,0.0,0.0,0.0,1104.0,1104.0,1104,684,0,1788,8,1957.0,304.0,120,0,0,0,0,0,0,11,WD ,161500
782,20,65.0,25095,ClearCr,5,1968,2003,Wd Sdng,Wd Sdng,0.0,1324.0,0.0,113.0,1437.0,1473,0,0,1473,5,1968.0,452.0,0,48,0,0,60,0,0,6,WD ,143000
783,20,,17140,Edwards,4,1956,1956,VinylSd,VinylSd,0.0,1059.0,0.0,75.0,1134.0,1229,0,0,1229,6,1956.0,284.0,0,0,0,0,0,0,0,4,WD ,135000
784,30,,12342,Edwards,4,1940,1950,VinylSd,VinylSd,0.0,262.0,0.0,599.0,861.0,861,0,0,861,4,1961.0,539.0,158,0,0,0,0,0,0,3,WD ,82500
785,20,,10708,ClearCr,5,1955,1993,Wd Sdng,Wd Sdng,0.0,379.0,768.0,470.0,1617.0,1867,0,0,1867,7,1955.0,303.0,476,0,0,0,142,0,0,11,COD,190000
786,20,,13680,Edwards,3,1955,1955,BrkFace,Wd Sdng,0.0,0.0,0.0,0.0,0.0,1733,0,0,1733,8,1955.0,452.0,0,0,0,0,0,0,0,6,WD ,139600
787,20,,15635,Edwards,4,1954,1954,VinylSd,VinylSd,0.0,0.0,0.0,0.0,0.0,1383,0,0,1383,6,1980.0,498.0,0,0,90,0,110,0,0,10,WD ,122000
788,20,73.0,9855,Edwards,6,1956,1956,Wd Sdng,Wd Sdng,0.0,0.0,0.0,1436.0,1436.0,1689,0,0,1689,7,1956.0,480.0,0,0,0,0,0,0,0,11,COD,127500
789,20,68.0,9571,Edwards,5,1956,1956,MetalSd,MetalSd,0.0,257.0,0.0,816.0,1073.0,1073,0,0,1073,5,1956.0,340.0,0,0,0,0,0,0,0,2,WD ,121500
790,20,68.0,9571,Edwards,5,1958,1958,BrkComm,Brk Cmn,0.0,0.0,0.0,1276.0,1276.0,1276,0,0,1276,5,1958.0,350.0,0,0,0,0,0,0,0,6,COD,60000
791,60,50.0,9350,Edwards,6,1946,1950,MetalSd,MetalSd,0.0,342.0,0.0,405.0,747.0,892,747,0,1639,6,1946.0,240.0,0,50,0,0,0,0,0,7,WD ,154400
792,30,50.0,9340,Edwards,4,1941,1950,MetalSd,MetalSd,0.0,344.0,0.0,328.0,672.0,672,0,0,672,4,1941.0,234.0,0,113,0,0,0,0,0,8,WD ,113000
793,20,62.0,7440,Edwards,5,1954,1954,Wd Sdng,Wd Sdng,0.0,173.0,0.0,916.0,1089.0,1089,0,0,1089,5,1954.0,252.0,328,0,0,0,0,0,0,9,WD ,125000
794,20,,11500,Edwards,4,1957,1957,Wd Sdng,Wd Sdng,0.0,0.0,0.0,0.0,0.0,845,0,0,845,5,1957.0,290.0,186,0,0,0,0,0,0,1,WD ,84000
795,120,42.0,4235,Edwards,5,1984,1984,HdBoard,HdBoard,149.0,552.0,393.0,104.0,1049.0,1049,0,0,1049,5,1984.0,266.0,0,105,0,0,0,0,0,2,WD ,139500
796,50,60.0,11409,Edwards,5,1949,2008,Wd Sdng,Wd Sdng,0.0,292.0,0.0,476.0,768.0,1148,568,0,1716,8,1949.0,281.0,0,0,0,0,160,0,0,1,WD ,131000
797,50,60.0,9060,Edwards,6,1939,1950,WdShing,Wd Shng,0.0,204.0,0.0,356.0,560.0,698,560,0,1258,6,1939.0,280.0,0,0,0,0,0,0,0,10,WD ,105000
798,70,60.0,9084,Edwards,4,1940,1950,MetalSd,MetalSd,0.0,0.0,0.0,755.0,755.0,755,755,0,1510,7,1940.0,296.0,120,0,0,0,0,0,0,10,WD ,108000
799,80,74.0,10778,SawyerW,7,1990,1991,HdBoard,HdBoard,0.0,460.0,286.0,308.0,1054.0,1061,0,0,1061,4,1990.0,462.0,114,36,0,0,0,0,0,7,WD ,162000
800,80,66.0,19255,SawyerW,6,1983,1983,Wd Sdng,Wd Sdng,100.0,70.0,450.0,0.0,520.0,1338,0,0,1338,5,1983.0,576.0,0,0,0,0,0,0,600,9,WD ,156500
801,50,79.0,12327,SawyerW,8,1983,2009,Wd Sdng,Wd Sdng,0.0,1441.0,0.0,55.0,1496.0,1496,636,0,2132,5,1983.0,612.0,349,40,0,0,0,0,0,9,WD ,316600
802,20,90.0,14684,SawyerW,7,1990,1991,HdBoard,HdBoard,234.0,485.0,177.0,1496.0,2158.0,2196,0,0,2196,7,1990.0,701.0,84,70,0,0,0,0,0,6,WD ,271900
803,60,75.0,9317,SawyerW,7,1993,1993,HdBoard,HdBoard,137.0,513.0,0.0,227.0,740.0,1006,769,0,1775,7,1993.0,425.0,234,72,192,0,0,0,0,7,WD ,213000
804,60,85.0,10560,SawyerW,7,1993,1994,VinylSd,VinylSd,0.0,474.0,0.0,605.0,1079.0,1079,800,0,1879,8,1993.0,473.0,400,100,144,0,0,0,0,8,WD ,239900
805,60,80.0,9828,SawyerW,8,1995,1995,VinylSd,VinylSd,0.0,584.0,0.0,544.0,1128.0,1142,878,0,2020,8,1995.0,466.0,0,155,0,0,0,0,0,6,WD ,239500
806,70,120.0,26400,SawyerW,5,1880,2007,HdBoard,HdBoard,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,7,1900.0,576.0,0,0,0,0,0,0,0,6,WD ,131000
807,90,64.0,7018,SawyerW,5,1979,1979,HdBoard,HdBoard,0.0,0.0,0.0,0.0,0.0,1535,0,0,1535,8,1979.0,410.0,0,0,0,0,0,0,0,6,WD ,118964
808,90,64.0,7018,SawyerW,5,1979,1979,Plywood,Plywood,275.0,1086.0,0.0,0.0,1086.0,1224,0,0,1224,6,1979.0,528.0,120,0,0,0,0,0,0,6,WD ,153337
809,90,64.0,7018,SawyerW,5,1979,1979,HdBoard,HdBoard,0.0,0.0,0.0,0.0,0.0,1114,1114,0,2228,8,1979.0,720.0,73,0,0,0,0,0,0,6,WD ,147983
810,90,64.0,7018,SawyerW,5,1979,1979,HdBoard,HdBoard,0.0,0.0,0.0,0.0,0.0,1535,0,0,1535,8,1979.0,400.0,0,0,0,0,0,0,0,6,WD ,118858
811,90,64.0,7018,SawyerW,5,1979,1979,Plywood,Plywood,0.0,0.0,0.0,0.0,0.0,1535,0,0,1535,8,1979.0,400.0,0,0,0,0,0,0,0,6,WD ,118858
812,90,64.0,7018,SawyerW,5,1979,1979,Plywood,Plywood,0.0,0.0,0.0,0.0,0.0,1120,1120,0,2240,12,1979.0,528.0,154,0,0,0,0,0,0,6,WD ,142953
813,90,64.0,7040,SawyerW,5,1979,1979,Plywood,Plywood,216.0,1094.0,0.0,0.0,1094.0,1229,0,0,1229,6,1979.0,672.0,120,0,0,0,0,0,0,6,WD ,148325
814,90,64.0,7007,SawyerW,5,1979,1979,HdBoard,HdBoard,0.0,0.0,0.0,0.0,0.0,1513,0,0,1513,8,1979.0,400.0,0,0,0,0,0,0,0,6,WD ,113722
815,90,,11855,SawyerW,7,2000,2000,VinylSd,VinylSd,23.0,820.0,0.0,348.0,1168.0,1168,1619,0,2787,8,2000.0,820.0,312,0,0,0,0,0,0,10,WD ,269500
816,90,,7939,SawyerW,7,2000,2000,VinylSd,VinylSd,23.0,820.0,0.0,348.0,1168.0,1168,1619,0,2787,8,2000.0,820.0,312,0,0,0,0,0,0,10,WD ,269500
817,90,,7976,SawyerW,7,2000,2000,VinylSd,VinylSd,23.0,820.0,0.0,348.0,1168.0,1168,1619,0,2787,8,2000.0,820.0,312,0,0,0,0,0,0,10,WD ,269500
818,20,84.0,10933,CollgCr,9,2009,2009,VinylSd,VinylSd,242.0,1021.0,0.0,534.0,1555.0,1680,0,0,1680,8,2009.0,1138.0,185,24,0,0,0,0,0,7,New,323262
819,20,79.0,10637,CollgCr,8,2007,2008,VinylSd,VinylSd,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,7,2007.0,826.0,208,44,0,0,0,0,0,9,WD ,297000
820,20,61.0,10226,CollgCr,8,2008,2008,VinylSd,VinylSd,270.0,0.0,0.0,1622.0,1622.0,1630,0,0,1630,8,2008.0,860.0,172,42,0,0,0,0,0,1,WD ,295493
821,20,65.0,10816,CollgCr,9,2008,2008,VinylSd,VinylSd,364.0,1104.0,0.0,616.0,1720.0,1720,0,0,1720,8,2008.0,846.0,208,104,0,0,0,0,0,11,WD ,332000
822,20,71.0,9178,CollgCr,8,2008,2008,VinylSd,VinylSd,0.0,0.0,0.0,1468.0,1468.0,1468,0,0,1468,6,2008.0,904.0,192,142,0,0,0,0,0,6,WD ,239900
823,60,68.0,10769,CollgCr,8,2007,2007,VinylSd,VinylSd,0.0,20.0,0.0,846.0,866.0,866,902,0,1768,7,2007.0,578.0,144,105,0,0,0,0,0,4,WD ,212000
824,20,77.0,11422,CollgCr,8,2007,2008,VinylSd,VinylSd,352.0,1359.0,0.0,479.0,1838.0,1838,0,0,1838,7,2007.0,524.0,154,222,0,0,0,0,0,4,WD ,272500
825,20,122.0,11923,CollgCr,9,2007,2007,VinylSd,VinylSd,0.0,0.0,0.0,1800.0,1800.0,1800,0,0,1800,7,2007.0,702.0,288,136,0,0,0,0,0,5,WD ,239000
826,20,68.0,8814,CollgCr,7,2006,2006,VinylSd,VinylSd,180.0,1334.0,0.0,270.0,1604.0,1604,0,0,1604,8,2006.0,660.0,123,110,0,0,0,0,0,3,WD ,220000
827,20,64.0,6762,CollgCr,7,2007,2007,VinylSd,VinylSd,0.0,902.0,0.0,380.0,1282.0,1290,0,0,1290,6,2007.0,662.0,168,0,0,0,0,0,0,5,WD ,200000
828,20,95.0,10324,CollgCr,8,2008,2008,VinylSd,VinylSd,140.0,872.0,0.0,382.0,1254.0,1254,0,0,1254,5,2008.0,810.0,168,92,0,0,0,0,0,3,WD ,221800
829,20,64.0,7314,CollgCr,7,2007,2007,VinylSd,VinylSd,82.0,724.0,0.0,508.0,1232.0,1232,0,0,1232,6,2007.0,632.0,132,0,0,0,0,0,0,2,WD ,194500
830,20,78.0,11645,CollgCr,8,2005,2006,VinylSd,VinylSd,76.0,24.0,0.0,1474.0,1498.0,1498,0,0,1498,7,2005.0,844.0,144,98,0,0,0,0,0,3,WD ,237000
831,60,79.0,11646,CollgCr,6,2005,2006,VinylSd,VinylSd,0.0,0.0,0.0,704.0,704.0,704,718,0,1422,7,2005.0,440.0,36,28,0,0,0,0,0,7,WD ,173000
832,80,,12800,SawyerW,7,1989,1989,Wd Sdng,Wd Sdng,145.0,1518.0,0.0,0.0,1518.0,1644,0,0,1644,5,1989.0,569.0,80,0,0,0,396,0,0,8,WD ,275000
833,60,,16698,ClearCr,7,1992,1993,VinylSd,VinylSd,0.0,800.0,0.0,649.0,1449.0,944,815,0,1759,7,1992.0,525.0,150,193,0,0,0,0,0,6,WD ,233500
834,60,,28698,ClearCr,5,1967,1967,Plywood,Plywood,0.0,249.0,764.0,0.0,1013.0,1160,966,0,2126,7,1967.0,538.0,486,0,0,0,225,0,0,6,WD ,185000
835,20,82.0,12464,CollgCr,5,1996,1996,VinylSd,VinylSd,0.0,732.0,0.0,308.0,1040.0,1040,0,0,1040,6,2000.0,576.0,168,0,0,0,0,0,0,11,WD ,152000
836,20,65.0,9757,CollgCr,5,1994,1994,VinylSd,VinylSd,0.0,755.0,0.0,235.0,990.0,990,0,0,990,5,1995.0,440.0,66,0,0,0,92,0,0,10,WD ,143000
837,60,65.0,15426,CollgCr,6,1997,1997,VinylSd,VinylSd,0.0,821.0,0.0,107.0,928.0,928,836,0,1764,7,1997.0,470.0,276,99,0,0,0,0,0,8,WD ,231500
838,60,43.0,10667,CollgCr,7,1996,1996,VinylSd,VinylSd,0.0,385.0,344.0,70.0,799.0,827,834,0,1661,6,1996.0,550.0,158,61,0,0,0,0,0,4,ConLw,212000
839,20,65.0,14753,CollgCr,7,1998,1998,VinylSd,VinylSd,0.0,950.0,0.0,513.0,1463.0,1463,0,0,1463,5,1998.0,539.0,0,81,0,0,0,0,0,12,WD ,207000
840,20,112.0,10859,CollgCr,5,1994,1995,VinylSd,VinylSd,0.0,0.0,0.0,1097.0,1097.0,1097,0,0,1097,6,1995.0,672.0,392,64,0,0,0,0,0,6,WD ,145000
841,20,60.0,8072,CollgCr,5,1994,1995,VinylSd,VinylSd,0.0,746.0,0.0,244.0,990.0,990,0,0,990,5,2000.0,480.0,0,64,0,0,0,0,0,5,WD ,138000
842,60,80.0,10400,CollgCr,7,1998,1998,VinylSd,VinylSd,0.0,0.0,0.0,866.0,866.0,866,913,0,1779,6,1998.0,546.0,198,36,0,0,0,0,0,3,WD ,197900
843,20,78.0,10335,CollgCr,7,1999,1999,VinylSd,VinylSd,183.0,679.0,0.0,811.0,1490.0,1501,0,0,1501,6,1999.0,577.0,144,29,0,0,0,0,0,6,WD ,204000
844,20,68.0,9017,CollgCr,7,1999,1999,VinylSd,VinylSd,0.0,560.0,0.0,871.0,1431.0,1431,0,0,1431,6,1999.0,666.0,0,35,0,0,0,0,0,9,WD ,192000
845,60,70.0,8750,CollgCr,6,1998,1998,VinylSd,VinylSd,120.0,606.0,0.0,322.0,928.0,928,844,0,1772,7,1998.0,492.0,150,96,0,0,0,0,0,4,WD ,200000
846,60,68.0,8935,CollgCr,7,2002,2002,VinylSd,VinylSd,95.0,0.0,0.0,831.0,831.0,831,829,0,1660,7,2002.0,493.0,144,68,0,0,0,0,0,7,WD ,195000
847,20,67.0,9808,CollgCr,7,2002,2002,VinylSd,VinylSd,110.0,788.0,0.0,785.0,1573.0,1573,0,0,1573,6,2002.0,544.0,0,72,0,0,0,0,0,3,WD ,227000
848,60,79.0,12420,CollgCr,7,2001,2001,VinylSd,VinylSd,0.0,666.0,0.0,278.0,944.0,944,896,0,1840,6,2001.0,622.0,0,45,0,0,0,0,0,6,WD ,230000
849,20,67.0,16285,CollgCr,7,2001,2002,VinylSd,VinylSd,0.0,0.0,0.0,1413.0,1413.0,1430,0,0,1430,6,2001.0,605.0,0,33,0,0,0,0,0,6,WD ,187100
850,20,65.0,10739,CollgCr,7,2002,2001,VinylSd,VinylSd,68.0,1259.0,0.0,172.0,1431.0,1444,0,0,1444,6,2002.0,577.0,144,40,0,0,0,0,0,4,WD ,203000
851,20,75.0,11166,CollgCr,7,2001,2001,VinylSd,VinylSd,180.0,24.0,0.0,1468.0,1492.0,1492,0,0,1492,6,2001.0,608.0,0,114,0,0,168,0,0,7,WD ,201000
852,20,60.0,8430,CollgCr,5,1978,1978,HdBoard,HdBoard,136.0,616.0,0.0,424.0,1040.0,1040,0,0,1040,5,,0.0,0,0,0,0,0,0,0,8,WD ,124000
853,20,,16269,CollgCr,5,1978,1978,MetalSd,MetalSd,76.0,625.0,0.0,282.0,907.0,907,0,0,907,5,1978.0,343.0,72,0,0,0,0,0,0,7,WD ,140000
854,20,76.0,6950,CollgCr,5,1979,1979,HdBoard,HdBoard,40.0,710.0,72.0,132.0,914.0,914,0,0,914,5,1979.0,444.0,0,0,0,0,0,0,0,10,WD ,134900
855,20,61.0,8800,CollgCr,5,1977,2008,HdBoard,HdBoard,0.0,532.0,144.0,364.0,1040.0,1040,0,0,1040,5,1977.0,484.0,0,0,0,0,288,0,0,9,WD ,150500
856,20,,7000,CollgCr,5,1978,2005,VinylSd,VinylSd,90.0,646.0,0.0,218.0,864.0,864,0,0,864,6,1978.0,336.0,0,0,0,0,0,0,0,7,WD ,136500
857,20,,9286,CollgCr,5,1977,1989,HdBoard,Plywood,0.0,196.0,0.0,1072.0,1268.0,1268,0,0,1268,5,1978.0,252.0,173,0,0,0,0,0,0,10,WD ,143500
858,20,36.0,15523,CollgCr,5,1972,1972,HdBoard,Plywood,0.0,460.0,0.0,404.0,864.0,864,0,0,864,5,1972.0,338.0,0,0,0,0,0,0,0,8,WD ,133500
859,20,60.0,7200,CollgCr,5,1972,1972,MetalSd,MetalSd,0.0,777.0,0.0,117.0,894.0,894,0,0,894,6,1985.0,600.0,215,0,0,0,0,0,0,9,WD ,123000
860,85,60.0,7200,CollgCr,5,1972,2003,WdShing,HdBoard,0.0,660.0,0.0,108.0,768.0,768,0,0,768,5,1974.0,396.0,192,0,0,0,0,0,0,4,WD ,133900
861,85,70.0,8445,CollgCr,5,1972,2007,HdBoard,Wd Shng,0.0,656.0,0.0,112.0,768.0,768,0,0,768,5,1988.0,396.0,58,0,0,0,0,0,0,3,WD ,133000
862,20,90.0,11664,CollgCr,7,2002,2002,VinylSd,VinylSd,0.0,1234.0,0.0,335.0,1569.0,1611,0,0,1611,6,2002.0,1231.0,262,93,0,0,0,0,0,9,WD ,250000
863,60,,12334,CollgCr,8,2003,2003,VinylSd,VinylSd,198.0,0.0,0.0,1068.0,1068.0,1068,1116,0,2184,8,2003.0,570.0,192,132,0,0,0,0,0,6,WD ,254750
864,20,,11838,CollgCr,8,2001,2001,VinylSd,VinylSd,0.0,0.0,0.0,1753.0,1753.0,1788,0,0,1788,7,2001.0,522.0,202,151,0,0,0,0,0,6,WD ,236500
865,60,,11885,CollgCr,8,2001,2001,VinylSd,VinylSd,108.0,990.0,0.0,309.0,1299.0,1299,573,0,1872,7,2001.0,531.0,160,122,0,0,0,0,0,11,WD ,261500
866,60,,11050,CollgCr,9,2000,2000,VinylSd,VinylSd,204.0,904.0,0.0,536.0,1440.0,1476,677,0,2153,8,2000.0,736.0,253,142,0,0,0,0,0,5,WD ,313000
867,60,70.0,8749,CollgCr,7,2002,2002,VinylSd,VinylSd,,0.0,0.0,840.0,840.0,840,885,0,1725,6,2002.0,550.0,0,48,0,0,0,0,0,11,WD ,198500
868,60,,11250,CollgCr,7,2001,2001,VinylSd,VinylSd,0.0,0.0,0.0,944.0,944.0,944,926,0,1870,6,2001.0,608.0,256,43,0,0,0,0,0,5,WD ,211000
869,20,90.0,15750,CollgCr,8,1999,2000,VinylSd,VinylSd,260.0,1246.0,0.0,216.0,1462.0,1513,0,0,1513,5,1999.0,521.0,135,34,0,0,0,0,0,6,WD ,220000
870,20,73.0,11883,CollgCr,7,1996,1996,VinylSd,VinylSd,196.0,690.0,0.0,814.0,1504.0,1504,0,0,1504,6,1996.0,478.0,115,66,0,0,0,0,0,6,WD ,203000
871,20,,12782,CollgCr,8,2002,2003,HdBoard,HdBoard,164.0,1360.0,0.0,462.0,1822.0,1828,0,0,1828,7,2002.0,523.0,194,144,0,0,0,0,0,6,WD ,279500
872,20,70.0,8750,CollgCr,7,1997,1998,VinylSd,VinylSd,209.0,1111.0,0.0,306.0,1417.0,1417,0,0,1417,7,1997.0,511.0,60,0,0,0,117,0,0,8,WD ,210000
873,60,,9375,CollgCr,7,1997,1998,VinylSd,VinylSd,573.0,739.0,0.0,318.0,1057.0,1057,977,0,2034,8,1998.0,645.0,576,36,0,0,0,0,0,2,WD ,219500
874,60,70.0,8750,CollgCr,7,1996,1996,VinylSd,VinylSd,0.0,0.0,0.0,880.0,880.0,909,807,0,1716,7,1996.0,512.0,0,120,0,0,0,0,0,7,WD ,191000
875,20,70.0,9100,CollgCr,7,2001,2001,VinylSd,VinylSd,0.0,0.0,0.0,1212.0,1212.0,1212,0,0,1212,6,2001.0,573.0,356,0,0,0,0,0,0,6,WD ,178000
876,20,75.0,9750,CollgCr,7,2000,2001,VinylSd,VinylSd,171.0,0.0,0.0,1630.0,1630.0,1630,0,0,1630,6,2000.0,451.0,74,234,0,0,0,0,0,10,WD ,213000
877,120,,4435,CollgCr,6,2003,2004,VinylSd,VinylSd,170.0,685.0,0.0,163.0,848.0,848,0,0,848,4,2003.0,420.0,140,0,0,0,0,0,0,6,WD ,144000
878,120,,4435,CollgCr,6,2003,2003,VinylSd,VinylSd,170.0,685.0,0.0,163.0,848.0,848,0,0,848,4,2003.0,420.0,140,0,0,0,0,0,0,5,WD ,140000
879,20,85.0,10200,CollgCr,8,2007,2007,VinylSd,VinylSd,180.0,1478.0,0.0,100.0,1578.0,1602,0,0,1602,7,2007.0,810.0,0,48,0,0,195,0,0,1,WD ,293200
880,60,65.0,9313,CollgCr,7,2004,2004,VinylSd,VinylSd,0.0,0.0,0.0,864.0,864.0,864,864,0,1728,7,2004.0,572.0,187,56,0,0,0,0,0,4,WD ,190000
881,20,63.0,8487,CollgCr,7,2004,2004,VinylSd,VinylSd,210.0,20.0,0.0,1480.0,1500.0,1500,0,0,1500,6,2004.0,570.0,192,36,0,0,0,0,0,8,WD ,190000
882,60,64.0,8633,CollgCr,6,2005,2005,VinylSd,VinylSd,0.0,193.0,0.0,545.0,738.0,738,738,0,1476,7,2005.0,540.0,100,35,0,0,0,0,0,2,WD ,173500
883,60,85.0,11069,CollgCr,6,2007,2007,VinylSd,VinylSd,0.0,0.0,0.0,608.0,608.0,608,788,0,1396,6,2007.0,440.0,100,36,0,0,0,0,0,7,WD ,170000
884,20,67.0,8777,Edwards,4,1949,2003,VinylSd,VinylSd,0.0,0.0,0.0,0.0,0.0,1126,0,0,1126,5,2002.0,520.0,0,96,0,0,0,0,0,5,WD ,108000
885,20,75.0,9937,Edwards,5,1964,1999,MetalSd,MetalSd,0.0,637.0,0.0,849.0,1486.0,1486,0,0,1486,7,1968.0,480.0,0,0,0,0,0,0,0,3,WD ,167000
886,20,67.0,8877,Edwards,4,1938,1958,MetalSd,MetalSd,0.0,690.0,0.0,126.0,816.0,816,0,0,816,3,1958.0,288.0,0,0,0,0,0,0,0,5,WD ,100000
887,85,64.0,7301,Edwards,7,2003,2003,HdBoard,HdBoard,500.0,0.0,0.0,0.0,0.0,495,1427,0,1922,7,2003.0,672.0,0,0,177,0,0,0,0,7,ConLD,198500
888,60,75.0,7950,Edwards,6,1977,1977,HdBoard,Plywood,140.0,535.0,0.0,155.0,690.0,698,728,0,1426,6,1977.0,440.0,252,0,0,0,0,0,0,7,WD ,159500
889,20,80.0,10682,Edwards,4,1960,1971,HdBoard,HdBoard,0.0,399.0,0.0,615.0,1014.0,1149,0,0,1149,7,1968.0,544.0,0,240,0,0,0,0,0,7,WD ,127000
890,80,72.0,7200,Edwards,6,1976,1976,MetalSd,MetalSd,255.0,631.0,0.0,410.0,1041.0,1125,0,0,1125,6,1977.0,352.0,296,0,0,0,0,0,0,10,WD ,125000
891,20,86.0,13286,Edwards,9,2007,2008,CemntBd,CmentBd,340.0,1234.0,0.0,464.0,1698.0,1698,0,0,1698,8,2007.0,768.0,327,64,0,0,0,0,0,2,WD ,320000
892,180,35.0,3675,Edwards,6,2005,2006,VinylSd,VinylSd,80.0,547.0,0.0,0.0,547.0,1072,0,0,1072,5,2005.0,525.0,0,28,0,0,0,0,0,4,WD ,145500
893,20,50.0,9405,Edwards,5,1947,2008,VinylSd,VinylSd,0.0,0.0,0.0,698.0,698.0,698,0,0,698,4,,0.0,0,200,0,0,0,0,0,6,WD ,118000
894,20,64.0,6410,Edwards,4,1959,1959,AsbShng,AsbShng,0.0,332.0,243.0,301.0,876.0,876,0,0,876,5,1959.0,320.0,0,0,0,0,0,0,0,3,WD ,85000
895,20,70.0,11767,Edwards,5,1950,1950,MetalSd,MetalSd,0.0,1078.0,0.0,0.0,1078.0,1368,0,0,1368,6,1950.0,195.0,0,41,211,0,0,0,900,6,WD ,120000
896,50,50.0,8405,Edwards,4,1945,1950,WdShing,Wd Shng,0.0,0.0,0.0,0.0,0.0,1088,441,0,1529,9,1945.0,240.0,92,0,185,0,0,0,0,4,WD ,98000
897,30,56.0,4060,Edwards,5,1922,1950,Wd Sdng,Wd Sdng,0.0,0.0,0.0,864.0,864.0,864,0,0,864,4,,0.0,0,96,0,0,0,0,0,7,WD ,99900
898,20,74.0,10206,Edwards,3,1952,1952,BrkComm,Brk Cmn,0.0,0.0,0.0,0.0,0.0,944,0,0,944,4,1956.0,528.0,0,0,0,0,0,0,0,7,WD ,82000
899,90,65.0,10926,Edwards,5,1959,1959,VinylSd,VinylSd,74.0,0.0,0.0,1678.0,1678.0,1678,0,0,1678,10,,0.0,0,0,0,0,0,0,0,8,WD ,119900
900,20,70.0,11767,Edwards,5,1956,1956,HdBoard,HdBoard,259.0,546.0,0.0,604.0,1150.0,1560,0,0,1560,7,1956.0,313.0,0,0,0,0,0,0,0,5,WD ,103500
901,20,,8926,Edwards,4,1956,1956,AsbShng,AsbShng,0.0,0.0,0.0,672.0,672.0,960,0,0,960,5,1956.0,288.0,64,0,0,0,160,0,0,10,COD,112000
902,50,67.0,12354,Edwards,6,1920,2000,Wd Sdng,Wd Sdng,0.0,0.0,0.0,684.0,684.0,684,512,0,1196,7,2005.0,528.0,0,46,0,0,0,0,800,8,ConLI,110000
903,50,45.0,8212,Edwards,5,1941,1950,Wd Sdng,Wd Sdng,0.0,626.0,0.0,94.0,720.0,854,444,0,1298,6,1940.0,256.0,84,0,0,0,0,0,0,9,WD ,122000
904,50,60.0,10998,Edwards,5,1941,1960,Wd Sdng,Wd Sdng,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,6,1977.0,660.0,0,68,0,0,0,0,0,7,WD ,117000
905,50,70.0,6300,SWISU,5,1938,1950,MetalSd,MetalSd,88.0,832.0,0.0,0.0,832.0,832,436,0,1268,7,1938.0,250.0,0,0,55,0,0,0,0,7,WD ,160000
906,50,55.0,4500,SWISU,5,1932,2000,VinylSd,Stucco,0.0,182.0,0.0,611.0,793.0,848,672,0,1520,6,1968.0,281.0,0,0,56,0,0,0,0,7,WD ,159434
907,30,60.0,8400,SWISU,2,1920,1950,Wd Sdng,Wd Sdng,0.0,290.0,0.0,0.0,290.0,438,0,0,438,3,1930.0,246.0,0,0,0,0,0,0,0,1,WD ,60000
908,50,60.0,9900,SWISU,6,1940,1950,VinylSd,VinylSd,0.0,0.0,0.0,778.0,778.0,944,545,0,1489,7,1940.0,240.0,335,0,0,0,0,0,0,7,WD ,139500
909,75,102.0,15863,SWISU,7,1920,1970,Wd Sdng,Plywood,0.0,523.0,0.0,301.0,824.0,1687,998,397,3082,12,1970.0,672.0,136,63,0,0,0,0,0,8,WD ,197000
